STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/13/2015,7.61,,,,0,,0,0,32,45,25,,340,360,,,17,23.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/14/2015,12.08,,,,0,,0,0,42,60,29,,320,310,,,33.1,46.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/15/2015,11.18,,,,0,,0,0,38,48,22,,320,330,,,29.1,36.9,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/16/2015,9.84,,,,1.23,,0,0,36,41,33,,320,340,,,21,25.1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/17/2015,12.3,,,,0.02,,0,0,35,38,28,,330,330,,,21.9,25.9,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/18/2015,15.21,,,,0,,0,0,30,39,22,,280,280,,,35.1,44.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/19/2015,13.65,,,,0,,0,0,22,28,15,,320,320,,,25.9,38,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/20/2015,6.93,,,,0,,0,0,23,35,16,,150,130,,,14.1,18.1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/21/2015,8.05,,,,0.11,,0,0,39,56,34,,160,150,,,18.1,29.1,1,,,1,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/22/2015,5.82,,,,0.4,,0,0,50,56,44,,20,320,,,14.1,16.1,1,1,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/23/2015,12.53,,,,0.32,,0,0,44,49,36,,330,330,,,23,28,1,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/24/2015,5.14,,,,0.11,,0,0,35,37,32,,320,320,,,13,15,1,,,1,,1,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/25/2015,7.61,,,,0.69,,0,0,35,38,32,,70,70,,,21,23.9,1,,,1,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/26/2015,9.4,,,,0,,0,0,36,43,33,,320,340,,,17,28,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/27/2015,9.4,,,,0,,0,0,37,48,29,,340,340,,,16.1,21,,,,,,,1,
